processo,ano,tribunal,comarca,autor_tipo,reu,setor,resultado,ganhou_autor,valor_condenacao,n_chars
0800293-80.2021.8.19.0038,2021,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2549
0800294-32.2023.8.20.5126,2023,TJRN,Santa Cruz,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,1372
0800294-51.2021.8.19.0075,2021,TJRJ,Magé,PESSOA FÍSICA,VIA VAREJO,Varejo e serviços,ACORDO HOMOLOGADO,,,910
0800294-94.2020.8.10.0153,2020,TJMA,Ilha de São Luís,,,,IMPROCEDENTE,False,,6594
0800295-14.2020.8.19.0029,2020,TJRJ,Magé,PESSOA FÍSICA,AVISTA S/A ADMINISTRADORA DE CARTOES DE CREDITO,Banco e financeira,ACORDO HOMOLOGADO,,,1877
0800295-66.2017.8.15.0211,2017,TJPB,,PESSOA FÍSICA,COMERCIO DE BEBIDAS E ALIMENTOS BALDEADOR,Outros,EXTINTO SEM MÉRITO,False,500.0,2264
0800296-29.2023.8.20.5117,2023,TJRN,Jardim do Seridó,PESSOA FÍSICA,,,IMPROCEDENTE,False,,8717
0800296-53.2025.8.18.0028,2025,TJPI,Floriano,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,ACORDO HOMOLOGADO,,,2093
0800296-74.2022.8.19.0046,2022,TJRJ,Rio Bonito,PESSOA FÍSICA,BANCO ITAU CONSIGNADO,Banco e financeira,EXTINTO SEM MÉRITO,False,,3269
0800296-88.2019.8.10.0027,2019,TJMA,,PESSOA FÍSICA,,,IMPROCEDENTE,False,,13172
0800296-96.2020.8.10.0110,2020,TJMA,Penalva,,,,IMPROCEDENTE,False,,3663
0800297-64.2020.8.19.0067,2020,TJRJ,Queimados,PESSOA FÍSICA,OI MOVEL,Telecomunicações,ACORDO HOMOLOGADO,,,1151
0800298-31.2020.8.19.0073,2020,TJRJ,Guapimirim,PESSOA FÍSICA,CRED - SYSTEM ADMINISTRADORA DE CARTOES DE CREDITO,Banco e financeira,ACORDO HOMOLOGADO,,,856
0800298-97.2021.8.19.0072,2021,TJRJ,Paty do Alferes,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,IMPROCEDENTE,False,,2570
0800300-53.2021.8.19.0012,2021,TJRJ,Cachoeiras de Macacu,PESSOA FÍSICA,BANCO BMG,Banco e financeira,ACORDO HOMOLOGADO,,,942
0800300-73.2015.8.10.0025,2015,TJMA,Bacabal,PESSOA FÍSICA,BANCO BMG,Banco e financeira,PROCEDENTE,True,2075.82,6626
0800302-62.2020.8.19.0075,2020,TJRJ,Magé,PESSOA FÍSICA,CLARO,Telecomunicações,ACORDO HOMOLOGADO,,,739
0800303-27.2021.8.19.0038,2021,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,1218
0800304-96.2021.8.14.0055,2021,TJPA,São Miguel do Guamá,PESSOA FÍSICA,BANCO ITAU CONSIGNADO,Banco e financeira,EXTINTO SEM MÉRITO,False,,2246
0800307-32.2023.8.10.0010,2023,TJMA,Ilha de São Luís,PESSOA FÍSICA,LUIZACRED S.A. SOCIEDADE DE CREDITO,Banco e financeira,PARCIALMENTE PROCEDENTE,True,5000.0,5671
0800309-49.2023.8.10.0059,2023,TJMA,Ilha de São Luís,PESSOA FÍSICA,AMERICANAS S.A. E OUTROS,Varejo e serviços,PROCEDENTE,True,2199.99,6889
0800314-40.2024.8.20.5109,2024,TJRN,Acari,PESSOA FÍSICA,BANCO J. SAFRA,Banco e financeira,ACORDO HOMOLOGADO,,,2944
0800316-63.2020.8.10.0118,2020,TJMA,Santa Rita,PESSOA FÍSICA,CEB DISTRIBUICAO,Outros,ACORDO HOMOLOGADO,,,1310
0800317-24.2023.8.19.0205,2023,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2161
0800317-81.2022.8.19.0068,2022,TJRJ,Rio das Ostras,PESSOA FÍSICA,ASSURANT SEGURADORA,Seguros,ACORDO HOMOLOGADO,,,985
0800319-36.2024.8.20.5150,2024,TJRN,,PESSOA FÍSICA,TAM - LINHAS AÉREAS,Transporte aéreo,EXTINTO SEM MÉRITO,False,,2299
0800319-64.2022.8.10.0080,2022,TJMA,Cantanhede,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,EXTINTO SEM MÉRITO,False,,14310
0800322-86.2019.8.10.0027,2019,TJMA,,PESSOA FÍSICA,,,IMPROCEDENTE,False,,13175
0800324-05.2021.8.19.0005,2021,TJRJ,Arraial do Cabo,PESSOA FÍSICA,BANCO BRADESCO FINANCIAMENTOS,Banco e financeira,IMPROCEDENTE,False,,3040
0800330-12.2021.8.19.0005,2021,TJRJ,Arraial do Cabo,PESSOA FÍSICA,AMPLA ENERGIA E SERVIÇOS,Energia,IMPROCEDENTE,False,,3184
0800331-21.2022.8.19.0212,2022,TJRJ,Niterói,PESSOA FÍSICA,AMPLA ENERGIA E SERVIÇOS,Energia,ACORDO HOMOLOGADO,,,5537
0800333-66.2021.8.19.0069,2021,TJRJ,Iguaba Grande,PESSOA FÍSICA,AMPLA ENERGIA E SERVIÇOS,Energia,EXTINTO SEM MÉRITO,False,,4141
0800334-18.2025.8.10.0148,2025,TJMA,Codó,PESSOA FÍSICA,ODONTOPREV S.A. E OUTROS,Plano de saúde,ACORDO HOMOLOGADO,,,2425
0800335-14.2022.8.20.5100,2022,TJRN,Assu,PESSOA FÍSICA,MM TURISMO & VIAGENS,Outros,PROCEDENTE,True,5000.0,15703
0800335-61.2022.8.19.0211,2022,TJRJ,,,,,ACORDO HOMOLOGADO,,,504
0800336-40.2022.8.19.0213,2022,TJRJ,,,,,ACORDO HOMOLOGADO,,,995
0800337-40.2020.8.10.0150,2020,TJMA,Pinheiro,PESSOA FÍSICA,BANCO CETELEM,Banco e financeira,EXTINTO SEM MÉRITO,False,,4025
0800339-57.2022.8.19.0063,2022,TJRJ,Três Rios,PESSOA FÍSICA,AMPLA ENERGIA E SERVIÇOS,Energia,ACORDO HOMOLOGADO,,,885
0800339-70.2024.8.19.0036,2024,TJRJ,Nilópolis,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,1203
0800340-76.2024.8.20.5161,2024,TJRN,Baraúna,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,ACORDO HOMOLOGADO,,,2493
0800342-39.2022.8.19.0054,2022,TJRJ,São João de Meriti,PESSOA FÍSICA,GOL LINHAS AEREAS,Transporte aéreo,ACORDO HOMOLOGADO,,,1362
0800344-76.2020.8.10.0103,2020,TJMA,Olho D'água das Cunhãs,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,5223
0800348-80.2018.8.15.0221,2018,TJPB,,PESSOA FÍSICA,BANCO ITAU CONSIGNADO,Banco e financeira,IMPROCEDENTE,False,,9383
0800348-83.2022.8.20.5109,2022,TJRN,Acari,PESSOA FÍSICA,ASSOCIAÇÃO BRASILEIRA DOS SERVIDORES PÚBLICOS - ABSP,Outros,PROCEDENTE,True,3000.0,10398
0800349-92.2025.8.10.0016,2025,TJMA,São Luís,PESSOA FÍSICA,AZUL LINHAS AEREAS BRASILEIRAS,Transporte aéreo,EXTINTO SEM MÉRITO,False,,2159
0800350-64.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,UNIVERSO ONLINE,Outros,ACORDO HOMOLOGADO,,,2349
0800351-08.2024.8.20.5161,2024,TJRN,Baraúna,PESSOA FÍSICA,EAGLE SOCIEDADE DE CREDITO DIRETO,Banco e financeira,ACORDO HOMOLOGADO,,,3301
0800356-76.2018.8.10.0098,2018,TJMA,Matões,PESSOA FÍSICA,DEMANDADO: ADMINISTRADORA DE CONSORCIO HONDA,Outros,IMPROCEDENTE,False,,6983
0800356-78.2020.8.10.0010,2020,TJMA,,PESSOA FÍSICA,BANCO DAYCOVAL,Banco e financeira,EXTINTO SEM MÉRITO,False,,5233
0800358-69.2023.8.20.5117,2023,TJRN,Jardim do Seridó,PESSOA FÍSICA,APEC - SOCIEDADE POTIGUAR DE EDUCACAO E CULTURA,Outros,ACORDO HOMOLOGADO,,,2773
0800358-80.2021.8.19.0004,2021,TJRJ,São Gonçalo,PESSOA FÍSICA,AMPLA ENERGIA E SERVIÇOS,Energia,ACORDO HOMOLOGADO,,,911
0800359-81.2025.8.19.0018,2025,TJRJ,Conceição de Macabu,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,ACORDO HOMOLOGADO,,,1123
