processo,ano,tribunal,comarca,autor_tipo,reu,setor,resultado,ganhou_autor,valor_condenacao,n_chars
0836190-52.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2234
0836355-22.2021.8.19.0038,2021,TJRJ,,,,,ACORDO HOMOLOGADO,,,1875
0836571-80.2021.8.19.0038,2021,TJRJ,Nova Iguaçu,PESSOA FÍSICA,BANCO ITAU,Banco e financeira,ACORDO HOMOLOGADO,,,2324
0836635-94.2024.8.12.0001,2024,TJMS,,PESSOA FÍSICA,,,IMPROCEDENTE,False,5000.0,18308
0836656-37.2023.8.15.2001,2023,TJPB,João Pessoa,PESSOA FÍSICA,GOL LINHAS AEREAS INTELIGENTES,Transporte aéreo,ACORDO HOMOLOGADO,,,5024
0836662-73.2021.8.19.0038,2021,TJRJ,,,,,ACORDO HOMOLOGADO,,,1875
0836684-87.2022.8.19.0203,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,TIM,Telecomunicações,ACORDO HOMOLOGADO,,,1374
0836784-86.2021.8.19.0038,2021,TJRJ,,,,,ACORDO HOMOLOGADO,,,1875
0836844-08.2024.8.19.0021,2024,TJRJ,,,,,ACORDO HOMOLOGADO,,,480
0837140-81.2025.8.15.2001,2025,TJPB,João Pessoa,,,,EXTINTO SEM MÉRITO,False,,4933
0837175-07.2022.8.19.0038,2022,TJRJ,,,,,ACORDO HOMOLOGADO,,,1875
0837300-72.2022.8.19.0038,2022,TJRJ,,,,,ACORDO HOMOLOGADO,,,1875
0837361-44.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,BANCO DO BRASIL,Banco e financeira,EXTINTO SEM MÉRITO,False,,1284
0837525-30.2023.8.19.0209,2023,TJRJ,Rio de Janeiro,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,884
0837908-29.2021.8.20.5001,2021,TJRN,Natal,PESSOA FÍSICA,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE - COSERN,Energia,ACORDO HOMOLOGADO,,,1348
0838038-61.2024.8.19.0209,2024,TJRJ,Rio de Janeiro,PESSOA FÍSICA,FACEBOOK SERVICOS ONLINE DO BRASIL,Outros,EXTINTO SEM MÉRITO,False,,2462
0838080-12.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,VIA VAREJO,Varejo e serviços,ACORDO HOMOLOGADO,,,2320
0838106-39.2024.8.19.0038,2024,TJRJ,,,,,ACORDO HOMOLOGADO,,,2164
0838115-69.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,APPLE COMPUTER BRASIL,Outros,ACORDO HOMOLOGADO,,,2339
0838138-55.2024.8.19.0002,2024,TJRJ,Niterói,PESSOA FÍSICA,AMPLA ENERGIA E SERVIÇOS,Energia,ACORDO HOMOLOGADO,,,7086
0838208-32.2022.8.19.0038,2022,TJRJ,,,,,ACORDO HOMOLOGADO,,,1875
0838224-78.2025.8.19.0038,2025,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LASER COMPANY BRASIL,Outros,ACORDO HOMOLOGADO,,,2335
0838297-55.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2345
0838351-35.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,1000
0838565-26.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,PROCEDENTE,True,3000.0,9196
0838701-09.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,99 TECNOLOGIA,Outros,ACORDO HOMOLOGADO,,,1199
0838945-89.2024.8.15.0001,2024,TJPB,Campina Grande Relator,PESSOA FÍSICA,,,IMPROCEDENTE,False,3000.0,23380
0838998-16.2022.8.19.0038,2022,TJRJ,,,,,ACORDO HOMOLOGADO,,,1978
0839017-22.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2344
0839119-39.2024.8.10.0001,2024,TJMA,Ilha,PESSOA FÍSICA,GOLDEN CAT PROCESSAMENTO DE PAGAMENTO LTDA E OUTROS,Outros,EXTINTO SEM MÉRITO,False,,4148
0839149-62.2024.8.19.0021,2024,TJRJ,Duque de Caxias,PESSOA FÍSICA,GLOBO COMUNICAÇÃO E PARTICIPAÇÕES,Outros,ACORDO HOMOLOGADO,,,868
0839186-77.2019.8.10.0001,2019,TJMA,Ilha de São Luís,PESSOA FÍSICA,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS NPL II,Banco e financeira,EXTINTO SEM MÉRITO,False,,4113
0839303-80.2024.8.19.0021,2024,TJRJ,Duque de Caxias,,,,ACORDO HOMOLOGADO,,,872
0839391-21.2024.8.19.0021,2024,TJRJ,Duque de Caxias,PESSOA FÍSICA,EBAZAR COM BR,Outros,ACORDO HOMOLOGADO,,,1571
0839603-72.2024.8.19.0205,2024,TJRJ,Rio de Janeiro,PESSOA FÍSICA,AMAZON SERVICOS DE VAREJO DO BRASIL,Outros,ACORDO HOMOLOGADO,,,3200
0839671-19.2020.8.15.2001,2020,TJPB,,PESSOA FÍSICA,HAPVIDA ASSISTENCIA MEDICA,Plano de saúde,ACORDO HOMOLOGADO,,,1653
0840026-19.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2335
0840044-40.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,EXTINTO SEM MÉRITO,False,,1023
0840121-49.2022.8.19.0038,2022,TJRJ,,,,,ACORDO HOMOLOGADO,,,1875
0840168-23.2021.8.10.0001,2021,TJMA,,PESSOA FÍSICA,,,PROCEDENTE,True,1300.0,13821
0840367-45.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,1212
0840382-43.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2290
0840698-10.2024.8.19.0021,2024,TJRJ,Duque de Caxias,PESSOA FÍSICA,IFOOD COM AGENCIA DE RESTAURANTES ONLINE,Outros,ACORDO HOMOLOGADO,,,948
0840748-87.2025.8.15.2001,2025,TJPB,João Pessoa,,,,ACORDO HOMOLOGADO,,,3129
0840959-65.2021.8.15.2001,2021,TJPB,João Pessoa,PESSOA FÍSICA,UBER DO BRASIL TECNOLOGIA,Outros,ACORDO HOMOLOGADO,,,2153
0841009-61.2024.8.19.0001,2024,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LIGHT,Energia,ACORDO HOMOLOGADO,,,630
0841083-77.2023.8.15.2001,2023,TJPB,João Pessoa,,,,ACORDO HOMOLOGADO,,,2259
0841137-85.2023.8.19.0205,2023,TJRJ,Rio de Janeiro,PESSOA FÍSICA,MRV ENGENHARIA E PARTICIPACOES,Outros,EXTINTO SEM MÉRITO,False,,1043
0841150-37.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,923
0841183-83.2021.8.20.5001,2021,TJRN,Natal,PESSOA FÍSICA,MAGAZINE LUIZA,Varejo e serviços,IMPROCEDENTE,False,,6116
0841217-75.2021.8.15.2001,2021,TJPB,João Pessoa,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,2147
0841302-35.2023.8.19.0205,2023,TJRJ,Rio de Janeiro,PESSOA FÍSICA,BANCO ITAU,Banco e financeira,ACORDO HOMOLOGADO,,,1231
0841305-11.2019.8.10.0001,2019,TJMA,,PESSOA FÍSICA,LIVING PANAMA EMPREENDIMENTOS IMOBILIARIOS,Outros,ACORDO HOMOLOGADO,,,2232
0841691-84.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,HURB TECHNOLOGIES,Outros,PARCIALMENTE PROCEDENTE,True,2000.0,14490
0842016-21.2021.8.15.2001,2021,TJPB,João Pessoa,PESSOA FÍSICA,CONCEITO CONSTRUTORA,Outros,ACORDO HOMOLOGADO,,,1909
0842075-73.2024.8.19.0002,2024,TJRJ,Niterói,PESSOA FÍSICA,AMPLA ENERGIA E SERVIÇOS,Energia,ACORDO HOMOLOGADO,,,7080
0842122-54.2023.8.19.0205,2023,TJRJ,Rio de Janeiro,PESSOA FÍSICA,EVENTIM BRASIL SAO PAULO SISTEMAS E SERVICOS DE I,Outros,ACORDO HOMOLOGADO,,,2172
0842137-56.2024.8.19.0021,2024,TJRJ,Duque de Caxias,,,,ACORDO HOMOLOGADO,,,872
0842199-55.2017.8.10.0001,2017,TJMA,Ilha de São Luís,PESSOA FÍSICA,BANCO PAN,Banco e financeira,EXTINTO SEM MÉRITO,False,,3802
0842426-86.2024.8.19.0021,2024,TJRJ,Duque de Caxias,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,1565
0842472-92.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,BANCO ITAU,Banco e financeira,ACORDO HOMOLOGADO,,,1200
0842530-27.2024.8.19.0038,2024,TJRJ,,,,,ACORDO HOMOLOGADO,,,2316
0842613-28.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,,,,ACORDO HOMOLOGADO,,,2634
0842654-97.2024.8.19.0203,2024,TJRJ,Rio de Janeiro,PESSOA JURÍDICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2384
0842800-51.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,2334
0842834-44.2023.8.19.0205,2023,TJRJ,Rio de Janeiro,PESSOA FÍSICA,TRANSPORTADORA TURISTICA SUZANO,Outros,ACORDO HOMOLOGADO,,,1264
0843044-62.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,HURB TECHNOLOGIES,Outros,ACORDO HOMOLOGADO,,,1120
0843135-88.2023.8.19.0205,2023,TJRJ,Qualidade do Serviço,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,PARCIALMENTE PROCEDENTE,True,4000.0,29624
0843538-10.2022.8.19.0038,2022,TJRJ,,,,,ACORDO HOMOLOGADO,,,1875
0843768-52.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,2340
0843856-22.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,NU PAGAMENTOS,Outros,ACORDO HOMOLOGADO,,,2274
0843862-97.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,1212
0843932-97.2024.8.19.0021,2024,TJRJ,Duque de Caxias,,,,ACORDO HOMOLOGADO,,,872
0844033-54.2021.8.10.0001,2021,TJMA,São Luís,PESSOA FÍSICA,BANCO DAYCOVAL,Banco e financeira,EXTINTO SEM MÉRITO,False,,3360
0844119-64.2017.8.10.0001,2017,TJMA,Ilha de São Luís,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,7321
0844186-36.2025.8.19.0021,2025,TJRJ,Duque de Caxias,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,865
0844257-06.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,PROCEDENTE,True,,3500
0844386-50.2023.8.19.0203,2023,TJRJ,Rio de Janeiro,PESSOA FÍSICA,HURB TECHNOLOGIES,Outros,ACORDO HOMOLOGADO,,,1446
0844419-84.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2342
0844499-43.2025.8.19.0038,2025,TJRJ,,,,,ACORDO HOMOLOGADO,,,2390
0844648-15.2019.8.10.0001,2019,TJMA,Ilha de São Luís,PESSOA FÍSICA,OI MOVEL,Telecomunicações,IMPROCEDENTE,False,,5404
0844665-94.2022.8.19.0001,2022,TJRJ,Itaboraí,,,,EXTINTO SEM MÉRITO,False,,1305
0844979-79.2023.8.19.0203,2023,TJRJ,Rio de Janeiro,PESSOA FÍSICA,GRINGA INTERMEDIACAO DE NEGOCIOS,Outros,ACORDO HOMOLOGADO,,,1404
0845046-59.2024.8.15.2001,2024,TJPB,João Pessoa,PESSOA FÍSICA,NU PAGAMENTOS,Outros,ACORDO HOMOLOGADO,,,2973
0845148-42.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,SKY SERVICOS DE BANDA LARGA,Telecomunicações,ACORDO HOMOLOGADO,,,2344
0845182-62.2023.8.19.0002,2023,TJRJ,Niterói,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,1977
0845800-59.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2288
0845806-77.2024.8.19.0002,2024,TJRJ,Niterói,PESSOA FÍSICA,TELEFONICA BRASIL,Telecomunicações,ACORDO HOMOLOGADO,,,7081
0845896-45.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,REALIZE CREDITO,Banco e financeira,ACORDO HOMOLOGADO,,,2313
0845946-20.2025.8.19.0021,2025,TJRJ,Duque de Caxias,PESSOA FÍSICA,ITAU UNIBANCO,Banco e financeira,ACORDO HOMOLOGADO,,,829
0846305-50.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,1349
0846409-76.2023.8.19.0038,2023,TJRJ,,,,,ACORDO HOMOLOGADO,,,2164
0846509-12.2019.8.15.2001,2019,TJPB,João Pessoa,PESSOA FÍSICA,ESTADO DA PARAIBA,Outros,IMPROCEDENTE,False,,6015
0846658-41.2023.8.19.0001,2023,TJRJ,Rio de Janeiro,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,1584
0846722-78.2025.8.18.0140,2025,TJPI,Teresina,PESSOA FÍSICA,V A DE SOUSA SILVA,Outros,EXTINTO SEM MÉRITO,False,,1993
0846734-56.2019.8.10.0001,2019,TJMA,,PESSOA FÍSICA,GOL LINHAS AEREAS INTELIGENTES,Transporte aéreo,,,,3370
0846842-46.2024.8.19.0038,2024,TJRJ,,,,,ACORDO HOMOLOGADO,,,2316
0846852-61.2022.8.19.0038,2022,TJRJ,,,,,ACORDO HOMOLOGADO,,,1875
0847020-63.2022.8.19.0038,2022,TJRJ,Nova Iguaçu,PESSOA FÍSICA,AMERICANAS,Varejo e serviços,ACORDO HOMOLOGADO,,,2317
0847266-36.2023.8.19.0002,2023,TJRJ,Niterói,PESSOA FÍSICA,FRIGELAR COMERCIO E INDUSTRIA,Outros,ACORDO HOMOLOGADO,,,1939
0847419-24.2024.8.19.0038,2024,TJRJ,,,,,ACORDO HOMOLOGADO,,,2316
0847626-62.2024.8.15.2001,2024,TJPB,,,,,ACORDO HOMOLOGADO,,,2725
0847842-81.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2352
0848030-11.2022.8.10.0001,2022,TJMA,Ilha de São Luís,PESSOA FÍSICA,BANCO SANTANDER (BRASIL),Banco e financeira,EXTINTO SEM MÉRITO,False,,3364
0848030-74.2024.8.19.0038,2024,TJRJ,,,,,ACORDO HOMOLOGADO,,,2316
0848045-43.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,1338
0848054-44.2024.8.15.2001,2024,TJPB,João Pessoa,PESSOA FÍSICA,BANCO ITAU CONSIGNADO,Banco e financeira,EXTINTO SEM MÉRITO,False,,3699
0848427-87.2024.8.19.0021,2024,TJRJ,Duque de Caxias,,,,ACORDO HOMOLOGADO,,,872
0848611-02.2022.8.15.2001,2022,TJPB,,,,,ACORDO HOMOLOGADO,,,856
0848856-37.2022.8.10.0001,2022,TJMA,Ilha de São Luís,PESSOA FÍSICA,BANCO SANTANDER (BRASIL),Banco e financeira,IMPROCEDENTE,False,1000.0,13289
0848898-81.2025.8.10.0001,2025,TJMA,,PESSOA FÍSICA,BANCO CELETEM,Banco e financeira,EXTINTO SEM MÉRITO,False,,10171
0849451-02.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,1588
0849669-15.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2233
0849682-39.2017.8.10.0001,2017,TJMA,Ilha de São Luís,PESSOA FÍSICA,COMPANHIA DE BEBIDAS BRASIL KIRIN,Outros,PARCIALMENTE PROCEDENTE,True,,5502
0850079-42.2024.8.19.0021,2024,TJRJ,Duque de Caxias,PESSOA FÍSICA,MERCADOLIVRE COM ATIVIDADES DE INTERNET,Varejo e serviços,ACORDO HOMOLOGADO,,,944
0850116-18.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,BEL MICRO COMPUTADORES,Outros,ACORDO HOMOLOGADO,,,1600
0850158-48.2020.8.15.2001,2020,TJPB,,PESSOA FÍSICA,GOL LINHAS AEREAS,Transporte aéreo,ACORDO HOMOLOGADO,,,2119
0850284-20.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,BANCO DO BRASIL,Banco e financeira,ACORDO HOMOLOGADO,,,2331
0850314-35.2025.8.19.0001,2025,TJRJ,Rio de Janeiro,PESSOA FÍSICA,AZUL LINHAS AEREAS BRASILEIRAS,Transporte aéreo,PROCEDENTE,True,6000.0,13311
0851074-09.2025.8.15.2001,2025,TJPB,João Pessoa,PESSOA FÍSICA,UBER DO BRASIL TECNOLOGIA,Outros,ACORDO HOMOLOGADO,,,1150
0851340-42.2024.8.19.0021,2024,TJRJ,Duque de Caxias,PESSOA FÍSICA,ÁGUAS DO RIO 4 SPE,Saneamento,ACORDO HOMOLOGADO,,,862
0851876-41.2019.8.10.0001,2019,TJMA,Ilha de São Luís,PESSOA JURÍDICA,ANDRADE JUNQUEIRA ARQUITETURA E CONSTRUCAO,Outros,IMPROCEDENTE,False,56900.0,13782
0851962-07.2022.8.10.0001,2022,TJMA,Ilha de São Luís,PESSOA FÍSICA,ISACK THIAGO ALVES SANTOS,Outros,EXTINTO SEM MÉRITO,False,,3905
0852068-32.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,1603
0852446-31.2023.8.12.0001,2023,TJMS,Campo Grande,,,,PROCEDENTE,True,,10978
0852834-70.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,1400
0853212-85.2016.8.10.0001,2016,TJMA,Ilha de São Luís,PESSOA FÍSICA,,,PARCIALMENTE PROCEDENTE,True,20000.0,9486
0853266-41.2022.8.10.0001,2022,TJMA,,PESSOA JURÍDICA,GOOGLE BRASIL INTERNET,Outros,ACORDO HOMOLOGADO,,,1847
0853278-94.2023.8.15.2001,2023,TJPB,João Pessoa,PESSOA FÍSICA,MERCADOLIVRE.COM ATIVIDADES DE INTERNET,Varejo e serviços,ACORDO HOMOLOGADO,,,3134
0853313-18.2015.8.20.5001,2015,TJRN,Natal,PESSOA FÍSICA,,,IMPROCEDENTE,False,,12758
0853629-62.2021.8.10.0001,2021,TJMA,,PESSOA FÍSICA,ABAMSP ASSOCIACAO BENEFICENTE DE AUXÍLIO MÚTUO AO SERVIDOR PÚBLICO,Outros,PARCIALMENTE PROCEDENTE,True,200.0,12728
0853660-14.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,AZUL LINHAS AEREAS BRASILEIRAS,Transporte aéreo,ACORDO HOMOLOGADO,,,2355
0853814-78.2023.8.18.0140,2023,TJPI,Teresina,PESSOA FÍSICA,BANCO DO BRASIL,Banco e financeira,ACORDO HOMOLOGADO,,,2571
0853995-38.2025.8.15.2001,2025,TJPB,João Pessoa,PESSOA FÍSICA,NU PAGAMENTOS,Outros,ACORDO HOMOLOGADO,,,3168
0854087-79.2021.8.10.0001,2021,TJMA,Ilha de São Luís,PESSOA FÍSICA,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA,Energia,PARCIALMENTE PROCEDENTE,True,,18262
0854156-14.2021.8.10.0001,2021,TJMA,Ilha de São Luís,PESSOA FÍSICA,,,PROCEDENTE,True,948.0,6239
0854165-87.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,NOVO GRAMACHO ENERGIA AMBIENTAL,Energia,EXTINTO SEM MÉRITO,False,,1237
0854212-30.2024.8.19.0021,2024,TJRJ,Duque de Caxias,PESSOA FÍSICA,CASH TIME PAY PRODUTOS E SERVICOS DIGITAIS,Outros,ACORDO HOMOLOGADO,,,875
0854446-38.2025.8.19.0001,2025,TJRJ,Rio de Janeiro,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,943
0855108-22.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,1580
0855283-67.2024.8.19.0021,2024,TJRJ,Duque de Caxias,PESSOA FÍSICA,BANCO PAN,Banco e financeira,ACORDO HOMOLOGADO,,,1539
0855852-31.2024.8.19.0001,2024,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LINHA AMARELA S A LAMSA,Outros,ACORDO HOMOLOGADO,,,2426
0855916-08.2020.8.15.2001,2020,TJPB,,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,730
0856464-40.2023.8.19.0021,2023,TJRJ,Duque de Caxias,PESSOA FÍSICA,UNIAO DE LOJAS LEADER,Varejo e serviços,ACORDO HOMOLOGADO,,,1264
0856700-14.2022.8.15.2001,2022,TJPB,,PESSOA FÍSICA,INSTITUTOS PARAIBANOS DE EDUCACAO,Outros,ACORDO HOMOLOGADO,,,1783
0856757-44.2024.8.20.5001,2024,TJRN,Parnamirim,PESSOA JURÍDICA,YELUM SEGUROS,Seguros,PROCEDENTE,True,9658.69,20537
0857172-05.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,BANCO ITAU,Banco e financeira,ACORDO HOMOLOGADO,,,1623
0857357-28.2022.8.19.0001,2022,TJRJ,I J,,,,EXTINTO SEM MÉRITO,False,,2180
0857674-10.2017.8.20.5001,2017,TJRN,Natal,PESSOA FÍSICA,CABO SERVIÇOS DE TELECOMUNICAÇÕES,Telecomunicações,IMPROCEDENTE,False,2700.0,11599
0857674-26.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,NOVO GRAMACHO ENERGIA AMBIENTAL,Energia,EXTINTO SEM MÉRITO,False,,1708
0857780-85.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,1461
0857953-95.2021.8.10.0001,2021,TJMA,,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,2930
0858591-31.2021.8.10.0001,2021,TJMA,Ilha de São Luís,PESSOA FÍSICA,UNIAO NACIONAL DOS SERVIDORES PUBLICOS DO BRASIL E OUTROS,Poder público,ACORDO HOMOLOGADO,,,2555
0858638-19.2022.8.19.0001,2022,TJRJ,,,,,ACORDO HOMOLOGADO,,,72
0859080-82.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2237
0859132-10.2024.8.19.0001,2024,TJRJ,Rio de Janeiro,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,1337
0859420-41.2024.8.19.0038,2024,TJRJ,,,,,ACORDO HOMOLOGADO,,,2316
0859912-33.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,AGUAS DO RIO 1 SPE,Saneamento,ACORDO HOMOLOGADO,,,2334
0859960-65.2023.8.15.2001,2023,TJPB,João Pessoa,PESSOA FÍSICA,TAM LINHAS AEREAS,Transporte aéreo,ACORDO HOMOLOGADO,,,5883
0859971-31.2022.8.15.2001,2022,TJPB,,,,,ACORDO HOMOLOGADO,,,856
0860450-87.2023.8.15.2001,2023,TJPB,João Pessoa,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,ACORDO HOMOLOGADO,,,4399
0860670-12.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,AZUL LINHAS AEREAS BRASILEIRAS,Transporte aéreo,ACORDO HOMOLOGADO,,,1614
0860789-55.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,TELEFONICA BRASIL,Telecomunicações,ACORDO HOMOLOGADO,,,1084
0861091-02.2024.8.19.0038,2024,TJRJ,,,,,ACORDO HOMOLOGADO,,,2316
0861236-29.2021.8.10.0001,2021,TJMA,,PESSOA FÍSICA,BANCO PAN,Banco e financeira,EXTINTO SEM MÉRITO,False,,1952
0861311-97.2023.8.10.0001,2023,TJMA,Ilha de São Luís,PESSOA FÍSICA,,,IMPROCEDENTE,False,,7320
0862168-60.2024.8.19.0001,2024,TJRJ,Rio de Janeiro,PESSOA FÍSICA,ITAU UNIBANCO,Banco e financeira,IMPROCEDENTE,False,5000.0,24087
0862771-32.2022.8.15.2001,2022,TJPB,João Pessoa,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,1925
0863106-75.2022.8.10.0001,2022,TJMA,,PESSOA FÍSICA,KROTON EDUCACIONAL,Ensino,IMPROCEDENTE,False,20000.0,6724
0863114-03.2022.8.19.0001,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,779
0863415-24.2023.8.14.0301,2023,TJPA,,,,,PROCEDENTE,True,4000.0,8288
0864240-69.2024.8.10.0001,2024,TJMA,,PESSOA FÍSICA,CEUMA - ASSOCIAÇÃO DE ENSINO SUPERIOR,Ensino,EXTINTO SEM MÉRITO,False,3000.0,3177
0864871-23.2023.8.15.2001,2023,TJPB,João Pessoa,PESSOA FÍSICA,HDI SEGUROS,Seguros,ACORDO HOMOLOGADO,,,1587
0865416-20.2024.8.19.0038,2024,TJRJ,Nova Iguaçu,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,ACORDO HOMOLOGADO,,,2346
